Reaction,Flux
ACP1e,0.0
ACRNtm,0.0
ACSm,0.0
ACSp,0.0
ACt2e,0.0
ADEt2,0.0
ADK1,0.13647413982770168
ADK3,0.0
ADK3m,0.0
ADK4,0.0
ADK4m,0.0
ADNt2,0.0
AHSERL,0.0
AKGDam,0.002537187135444835
AKGMAL,0.0
ALAt2r,0.0
ALATA_Lm,0.0
ALDD20xm,0.0
ALDD20y,0.0
ALDD20ym,0.0
ALDD2y,0.0
ALDD2ym,0.0
ALLTTti,0.0
AMETt2,0.0
AMID,0.0
AMID2,0.0
AMPN,0.0
ARAB_Lt,0.0
ARABR,0.0
ARGt2r,0.0
ARMT,0.0
ASNNe,0.0
ASNt2r,0.0
ASPt2m,0.0
ASPt2n,0.0
ASPt2r,0.0
ATHRDHr,0.0
ATPATF2,0.0
ATPATF3,0.0
ATPH1,0.0
ATPS,0.0
ATPS3g,0.0
ATPtm_H,8.07231746669416
BTNt2i,7.535196237252256e-08
CHLt2,0.0
CHTNDA,0.0
CITtbm,-0.04230857282107918
CO2tn,0.0
COUCOAFm,0.0
CRNt,0.0
CRNtim,0.0
CSNt2,0.0
CTPS2,0.0
CYSt2r,0.0
CYSTLp,0.0
CYTDt2,0.0
DADNt2,0.0
DCTPD,0.0
DCYTD,0.0
DCYTt2,0.0
DESAT16,0.000257254970458054
DESAT18,0.0
DGSNt2,0.0
DHFRim,7.221571603518995e-05
DHNPTtm,7.535196237459796e-08
DHPSm,7.535196237459796e-08
DHPTtm,-7.535196237459796e-08
DINSt2,0.0
D_LACtm,0.0
DOLK,0.0
dolpmmer,0.02561213201042042
DPGM,0.0
DPRm,7.870957127814604e-06
DRBK,0.0
DROPPRy,1.507039247450451e-07
DRTPPD,1.507039247450451e-07
DTTPt,0.0
DURIK1,0.0
DURIt2,0.0
DXHPScm,0.0
EHGLATm,0.0
EHGLATp,0.0
ERGSTt,0.0
ERGSTter,0.0017389059358082792
ERGTETROLter,0.0017389059358082792
ETHAt,0.0
FA141COAabcp,0.0
FA161COAabcp,0.0
FACOAL100p,0.0
FACOAL120p,0.0
FACOAL140,0.0
FACOAL140p,0.0
FACOAL141,0.0
FACOAL141p,0.0
FACOAL160p,0.0
FACOAL161,0.0
FACOAL161p,0.0
FACOAL80p,0.0
FAO141p_even,0.0
FAO141p_odd,0.0
FAO161p_even,0.0
FAO161p_odd,0.0
FAO181p_even,0.0
FAO181p_odd,0.0
FBA2,0.0
FBA3,0.0
FOLD3m,0.0
FRDcm,0.0
FRUt2,0.0
FUMt2r,0.0
G12MT1g,0.0
G12MT2g,0.0
G3PCt,0.0
G5SD2,0.0
G6PI,0.0
GALt2,0.0
GAM6Pt,0.0
GCALDt,0.0
GCALDtm,-7.535196237459796e-08
GCC2am,0.0
GCC2cm,0.0
GK2,0.0
GLCt1,0.72
GLNt2r,0.0
GLUK,0.0
GLUt2r,0.0
GLYCLm,0.0
GLYOXm,0.0
GLYt2r,0.0
GSNt2,0.0
GTHOXti,0.0
GTHP,0.0
GTHRDt2,0.0
GTMLT,0.0
GUAt2r,0.0
H2Oter,-0.0018776654095759412
H2Otn,0.0
HCITSn,0.0
HCO3E,0.4156904196930463
HCO3Em,0.0
HCO3En,0.0
HDCAt,0.0
HDCEAt,0.0
HICITDm,0.08264192385831076
HISt2r,0.0
HMGCOASm,-0.011265992457455647
HMPK1,7.535196237112851e-08
HPROb,0.0
HPROxm,0.0
HPROym,0.0
HXANt2r,0.0
ICDHxm,0.08575320533175665
ICDHym,0.12922617003959713
ICDHyp,0.0
ID3ACALDt,0.0
ID3ACALDtm,0.0
ILEt2r,0.0
ILETAm,-0.029137403660120246
INDPYRD,0.0
INSt2,0.0
INSTt2,0.0
IPPSm,0.03442189368523783
ITCOALm,0.0
LEUt2r,0.0
LEUTAm,0.0
L_LACt2r,0.0
LSERDHr,0.0
LYSt2r,0.0
MALt2r,0.0
MALTt2,0.0
MANt2,0.0
ME2m,0.0
METt2r,0.0
MEVK2,0.002756337383744403
MEVK3,0.0
MEVK4,0.0
MHPGLUT,0.0
MI1345PKn,0.0
MI1456PKn,0.0
MI145P6Kn,0.0
MI145PKn,0.0
MMETt2,0.0
MTAP,0.0
MTHFC,0.038326628671764916
MTHFCm,0.0
NADH2_u6cm,0.0
NADH2_u6m,0.0
NAt3_1,0.0
NDP1,0.0
NDP3g,0.0
NDPK9,0.0
NMNTP,0.0
NNDPRm,0.0
NNMT,0.0
NTD2,0.0
NTRLASE2,0.0
NTRLASE3,0.0
O2ter,0.0018776654095759412
OCDCAt,0.0
OHPBAT,0.0
OMCDCm,0.03442189368523783
ORNt2r,0.0
OXAGm,0.08264192385831076
OXO2Ctm,0.0
P5CR,0.0
PANTtm,-7.870957127814604e-06
PAtm_PP,1.7915073729834995e-05
PDE3,0.0
PDE5,0.0
PDX5PO,0.0
pepat,0.0
PFK_2,0.0
PFK_3,0.0
PGAMT,0.0
PHEt2r,0.0
PIt2m,8.029964106188755
