Reaction,Flux
H2Otm,-11.822271746595062
H2Otp,-1.1489833270549064
HACNHm,0.02309705095523088
HCITSm,0.02309705095523088
HEX1,0.42285717206045026
HISTP,0.006646043081256489
HMBS,8.372440263613617e-08
HMGCOAR,-0.012518271743588752
HMGCOAtm,-0.012518271743588752
HSDxi,0.023917633825467657
HSK,0.02112785300522896
HSTPT,0.006646043081256489
ICL,0.06247500751686266
GCALDD,1.6744880526955996e-07
GLYCLTDy,-1.6744880526955996e-07
IG3PS,0.006646043081256489
IGPDH,0.006646043081256489
IGPS,0.005087094704171634
ILETA,-0.0158766584718905
IMPC,-0.01448260998608427
IMPD,0.00347710793123979
IPDDI,0.004172673523460282
IPMD,0.02527137369169134
IPPMIa,-0.02527137369169134
IPPMIb,-0.02527137369169134
KARA1im,0.04607977254650639
LEUTA,-0.02527137369169134
LNSTLS,0.002086294899528823
MAN6PI,-0.02847347619683283
MCITDm,0.02309705095523088
MCOATA,0.04367225316945851
MDH,0.05021947890467778
MDHm,0.2804060524581296
METAT,0.00309821507402318
METS,0.005887912169859237
MEVK1,0.009496411862609551
MOHMT,8.745507919738493e-06
MTHFD,-0.05021583420272451
MTHFDm,0.014954830647625613
MTHFR3,0.005887912169859237
NADS1,1.6744880487751246e-07
NDPK1,0.011005669503649755
NDPK2,0.14361275239254265
NH4t,0.6024763293719696
NNAT,1.6744880487751246e-07
NNDPR,1.6744880487751246e-07
O2t,2.9071704540652124
O2tm,2.251116341375063
OAAt2m,0.017559518964876723
OCBTi,0.02498419899064939
OMPDC,0.007610338888618192
ORNt3m,0.029661044121903957
ORNTACim,0.029661044121903957
ORPT,-0.007610338888618192
PANTS,8.745507919738493e-06
PAPSR,0.0033319344973533685
PC,0.24392417798727248
PDHcm,0.6007601840683934
PETOHM_PP,0.00036536941833874433
PFK,0.27492537893343816
PGK,-0.9966044986337133
PGL,0.288
PGM,-0.9966044986337133
PGMT,-0.13417373021886675
PGPPAm_PP,9.95281873879722e-06
PHETA1,-0.011281863255219349
PINOS_PP,7.560267844519259e-05
PIt2r,0.016226850910161184
PMANM,-0.02847347619683283
PMDPHT,1.6744880527227235e-07
PMEVK,0.012518271743588752
PMPK,8.37244026365147e-08
PNTK,8.745507919738493e-06
PPA,0.4437645848458251
PPAm,0.04390838763280406
PPBNGS,3.348976105445447e-07
PPCDC,8.745507919738493e-06
PPCK,0.04824568467265765
PPND2,0.007753716928132571
PPNDH,0.011281863255219349
PPPG9tm,8.372440263613617e-08
PPPGOm,4.186220131806809e-08
PRAGSr,0.007836650629230418
PRAIi,0.005087094704171634
PRAIS,0.007836650629230418
PRAMPC,0.006646043081256489
PRASCS,0.007836566904827782
PRATPP,0.006646043081256489
PRFGS,0.007836650629230418
PRMICIi,0.006646043081256489
PRPPS,0.02718029475208161
PSCVTi,0.024122842336328824
PTPATi,8.745507919738493e-06
PYK,0.9966044986337133
PYRDC,0.22731424742122325
RBFK,1.6744880527227235e-07
RBFSa,3.348976105445447e-07
RBFSb,1.6744880527227235e-07
RNDR1,8.008239112146426e-05
RNDR2,5.587766631935729e-05
RNDR4,0.00013596005744082154
RPE,0.2402385769718272
RPI,-0.04776108813056224
SACCD1,0.02309705095523088
SACCD2,0.02309705095523088
SAM24MT,0.0019972101073189425
SERPT,3.20026666342e-05
SFGTH,1.0168
SHK3D,0.024122842336328824
SHKK,0.024122842336328824
SO4ti,0.0033319344973533685
SQLErx,0.002086294899528823
SQLS,0.002086294899528823
SSALy,8.37244026365147e-08
SUCFUMtm,0.062474421446044204
SUCOASm,-0.22432417217128262
SULR,-0.0033319344973533685
TALA,0.015462115711306665
THMP,8.372440263613617e-08
THRS,0.02112785300522896
TKT1,0.020580709654077996
TKT2,-0.003542132682250773
TMDS,8.008239112146426e-05
TMPPP,8.37244026365147e-08
TPI,0.491815563735583
TRE6PP,0.0006078391631383486
TRE6PS,0.0006078391631383486
TRIGS_PP,0.0016749294477734213
TRPS1,0.005087094704171634
TYRTAi,0.007753716928132571
UDPACGLP,0.005663955838334612
UMPK,0.0039110263927820965
UPP3S,8.372440263613617e-08
UPPDC1,8.372440263613617e-08
URIDK2r,-0.00013596005744082154
VALTA,-0.02079965334689531
CYOOm,2.251116006477453
D_LACDcm,0.008130045231955485
AGTi,0.06247517496573011
AOD,1.24
GAT1_PP,0.0032882436411260083
PMETM_PP,0.00036536941833874433
DAS,0.22319999999999998
EPISTAT_PP,6.401721878459823e-06
ERGSTAT_PP,0.0003800406815154899
FECOSTAT_PP,6.401721878459823e-06
LANOSTAT_PP,2.0107972566957136e-06
ZYMSTAT_PP,1.5511864551652648e-05
DASYN_PP,0.0007245553089647389
PSERS_PP,0.0006489526305195462
